url,status,depth,content_type,title
http://govarabadinan.blogspot.com/,200,2,text/html,govarabadinan
https://govarabadinan.blogspot.com/,200,0,text/html,govarabadinan
https://govarabadinan.blogspot.com/2025/,200,2,text/html,govarabadinan: 2025
https://govarabadinan.blogspot.com/2025/09/,200,2,text/html,govarabadinan: سبتمبر 2025
https://govarabadinan.blogspot.com/2025/09/4-11-1933.html,200,1,text/html,govarabadinan:  كوشتارا ئاسووریان یا سێمێلێ‌  ( 4-11 تەباخا سالا 1933) د (پەرتووكا شین) دا
https://govarabadinan.blogspot.com/2025/09/blog-post_15.html,200,1,text/html,govarabadinan:  رەوش و رۆلێ فەلسەفێ ل چاخێ ژیریا دەستکرد
https://govarabadinan.blogspot.com/2025/09/blog-post_27.html,200,1,text/html,govarabadinan: ناسینەوەى سێ سۆفیی گومناوى کورد (سەدەى٨ک/١٤ز)
https://govarabadinan.blogspot.com/2025/09/blog-post_30.html,200,1,text/html,govarabadinan:  ھزرا سیاسی و فەلسەفی یا ئەلیكساندەر دوگین ئاقلدارێ سیاسەتا ڤلادیمێر پووتینی
https://govarabadinan.blogspot.com/2025/09/blog-post_59.html,200,1,text/html,govarabadinan: سەربۆرا گرەکی
https://govarabadinan.blogspot.com/2025/09/blog-post_85.html,200,1,text/html,govarabadinan:  کێشە و گرفتێن دارایی ل ناڤبەرا ھەرێمێ و بەغدا ل سالێن ٢٠٢٣-٢٠٢٥ێ
https://govarabadinan.blogspot.com/2025/09/blog-post_99.html,200,1,text/html,govarabadinan: شووشتنا مه‌ژى د ڕژێمێن تۆتاليتارى يێن رۆژهه‌لاتا ناڤين دا و سه‌رباركێن وێرانكار
https://govarabadinan.blogspot.com/2025/10/,200,2,text/html,govarabadinan: أكتوبر 2025
https://govarabadinan.blogspot.com/2025/10/1930.html,200,1,text/html,govarabadinan: سه‌رهلدانا ئۆره‌مار يا سالا 1930ێ  (ڤه‌كۆلينه‌كا مه‌يدانى)
https://govarabadinan.blogspot.com/2025/10/blog-post.html,200,1,text/html,govarabadinan: ھێزك
https://govarabadinan.blogspot.com/2025/10/blog-post_1.html,200,1,text/html,govarabadinan: جگارە
https://govarabadinan.blogspot.com/2025/10/blog-post_11.html,200,1,text/html,govarabadinan: دەرهاڤێژێن هشیاری و نه‌ئاگه‌هييێ د کۆمەلەیا کن چیرۆکێن (خەونە با) دا
https://govarabadinan.blogspot.com/2025/10/blog-post_13.html,200,1,text/html,govarabadinan: رێک بۆ مە هات هەلبژارتن
https://govarabadinan.blogspot.com/2025/10/blog-post_21.html,200,1,text/html,govarabadinan: داب و نەریتێن کێم وێنە ل سەرانسەرى جیهانێ
https://govarabadinan.blogspot.com/2025/10/blog-post_28.html,200,1,text/html,govarabadinan: ڤەگێڕ د كورتەچيڕۆكا كوردی دا (شوکرۆیا عەزێ) وەک نموونە
https://govarabadinan.blogspot.com/2025/10/blog-post_34.html,200,1,text/html,govarabadinan: عه‌شق و رويبار
